title,intro,category,comp_name,comp_addr,role,requirement,preferred,due,tech_stack,welfare,procedure
None,None,안드로이드 개발자|iOS 개발자|소프트웨어 엔지니어,"브레이브모바일(숨고,Soomgo)","서울 강남구 서울시 강남구 테헤란로 415, L7 강남타워 5층 브레이브모바일(숨고)","[기술 스택 & 사용 툴]|React, React-Native, TypeScript, Circle CI, Github, Github Action, Jest, App|[합류 직후 이런 일을 해요]|React-Native를 활용하여 모바일 애플리케이션을 개발하고 유지 보수합니다|목적 조직(Squad)에 소속되어 숨고 App.의 사용자 경험을 개선하고 더 나은 가치를 선사하기 위해 필요한 기능을 개발합니다|Chapter 구성원들과 함께 숨고 앱 프로젝트의 레거시 코드와 기술 부채를 개선합니다|모바일 OS에 대한 이해를 바탕으로 iOS/Android 플랫폼 변경사항 및 정책에 주도적으로 대응합니다|Chapter 내 활발한 코드 리뷰와 기술 논의를 통해 ‘코드 품질' 제품 퀄리티 향상에 기여합니다|[장기적으로 이런 일도 할 수 있어요]|빌드 및 배포 프로세스 개선을 위한 방법론을 주도적으로 제안하여 안전하면서도 빠른 App. 배포에 기여합니다|Design System 구축을 통해 DX와 UX를 개선합니다|자동화를 통해 불필요한 업무 리소스를 절감하여 Chapter 내 업무 생산성 향상을 견인합니다|길드(TF)에 소속되어 사용자 경험 개선을 위한 각종 프로젝트들을 주도적으로 수행합니다|Chapter 구성원들의 성장을 견인할 수 있는 각종 스터디를 기획하고 참여합니다","React, JavaScript 생태계에 익숙하고 TypeScript 활용이 가능하신 분|React-Native 경험이 있거나 관심이 있으신 분|Git을 이용한 버전 관리 및 협업 경험이 있으신 분|상황에 따른 트레이드 오프를 고려하여 최적의 판단을 내릴 수 있는 분|적극적이고 긍정적인 태도로 다양한 이해관계들과 협업할 수 있는 분|유연한 사고와 전문성을 바탕으로 다양한 기술문제에 대한 해결 능력이 있으신 분|코드 리뷰에 대한 깊은 공감을 기반으로, 수준 높은 코드 코드 리뷰 문화를 유지할 의지가 있는 분|좋은 코드에 대해 고민하시는 분|새로운 기술에 대한 거부감이 없고 빠르게 배우며 구성원들과 공유하는 것에 적극적인 분","모바일 App. 개발에 대한 수준 높은 전문성을 바탕으로 업무에 대한 열정과 지속적인 학습 의지를 가진 분|iOS / Android Native를 기반으로 App. 런칭부터 유지보수까지의 일련의 과정을 경험해 보신 분|애자일, 스프린트 방식 등 속도감 있는 스타트업 환경에 익숙하신 분|App. 퍼포먼스 개선을 경험하셨거나 이에 준하는 이해도를 갖고 계신 분|모바일 환경의 다양한 빌드 문제 해결 경험이 있는 분|시리즈 B 이상의 스타트업에서의 업무 경험을 보유하신 분|[미래의 동료에게 드리는 한 마디]|React-Native를 통해 숨고 App을 개발하고 있는 Mobile Chapter는 '사람들을 연결하여 삶의 질을 높인다'는 비전 아래, 1,000만 명의 유저들에게 숨고 App을 유용하고 편리하게 사용할 수 있는 경험을 제공하기 위해 치열하게 고민하고 있습니다.|Mobile Chapter는 목적과 기능에 따라 구분된 Squad에 소속되어 다양한 직군의 동료들과 협업하며 숨고 App의 기능을 개발하고 있습니다. 또한, 같은 Repository에서 함께 호흡하는 Chapter 동료들과 더 나은 코드와 구조, 개발 방향을 끊임없이 고민하고 있습니다.|Mobile Chapter에 합류하신다면 아래와 같은 경험을 할 수 있습니다.|1. 유저와 만나는 최전선에서 유저 경험을 개선하고 Squad 구성원들과 함께 비즈니스 목표를 달성하기 위한 기획 과정부터 회고까지의 일련의 경험을 하실 수 있습니다.|2. 누구보다도 성장에 대한 열정이 넘치는 동료들과 함께 나날이 성장하는 경험을 할 수 있습니다.|3. 새로운 일감을 주도적으로 발굴하고, 실현하기 위한 전략을 세워 실행하는 자율적인 업무 환경을 경험하실 수 있습니다.|모바일 개발에 대한 열정과 지속적인 성장을 추구하며, 팀워크를 중시하는 여러분을 Mobile Chapter에서 기다리고 있습니다. 지금까지의 성과를 넘어 앞으로 더 많은 도전을 함께 이뤄낼 분을 모십니다!",None,None,"[근무 환경과 복지]|1. 모두의 숨고를 위해|최대 500만원의 인재 추천 포상 제도를 운영합니다|매월 팀원과의 점심 맛집 탐방, 팀별 회식을 지원합니다|사내 동아리 활동비를 매월 지원합니다​|장기근속자는 10일의 refresh 휴가와 선물을 지급합니다|각종 정부지원사업을 적극 운영합니다|매년 명절 (설날, 추석) 전 날 그리고 마지막 근무일에는 모두 조기 퇴근합니다|2. 개인의 삶을 더 풍요롭게|구성원 모두에게 연간 240만원 상당 복지카드를 지급합니다|생일날 케이크와 상품권을 지급하고, 조기퇴근 혜택을 드립니다|명절에는 구성원 모두에게 선물을 지급합니다|경조사 발생 시 경조휴가와 경조금을 지원합니다|건강 검진을 위한 당일 반차를 지원합니다|퇴직연금 제도를 운영합니다|3. 몰입과 집중을 돕는 환경|지하철 2호선 선릉역에서 도보 2분 거리 쾌적하고 트렌디한 오피스에서 일합니다|루나랩 데스크, 노트북 등 최적의 업무 장비를 지원합니다 (포지션 별 상이)|무제한 커피, 음료, 간식을 제공하는 사내 편의점을 운영합니다|주 1회 리모트로 근무합니다|야근 시 식대와 교통비를 지원합니다|4. 함께 이루는 성장|전문성을 기를 수 있는 교육비, 도서비를 지원합니다 (최대 100만원)|숨고 서비스 이용 체험비를 지원합니다 (최대 100만원)|업무에 도움되는 외부 세미나, 컨퍼런스 참석을 권장하고 지원합니다|업무와 관련된 교육용 콘텐츠 지원합니다|활발한 사내 스터디와 세미나를 권장하고 지원합니다|[지원 시 유의사항]|산업기능요원 (보충역 신규/전직)의 편입 조건을 만족하여 최종 합격 후 신규 편입, 또는 전직이 가능하신 분들만 지원이 가능합니다 (산업기능요원 보충역 신규 편입, 또는 전직 대상자가 아닌 경우 전형이 취소될 수 있습니다)|병역 특례가 아닌 일반 Tech Team 채용 공고는 Engineering 직무를 확인해 주세요|본 공고는 지원 시점으로부터 6개월 내 숨고의 Engineering 직군(Mobile App Engineer 직무 포함)의 지원 이력이 있어도 지원이 가능합니다|지원서 내용, 또는 전형 진행 중 허위 사실이 있는 경우 전형 진행이 취소될 수 있습니다|취업보호대상자는 관련 법규에 의거하여 우대합니다",서류 전형 ＞ 과제 전형 ＞ 1차 인터뷰 ＞ 2차 인터뷰 ＞ 처우 협의 ＞ 최종 합격
None,None,"C,C++ 개발자|블록체인 플랫폼 엔지니어|소프트웨어 엔지니어",엔크립트,서울 강남구 강남구 논현로75길,"[On-Chain Engineer]|온체인 엔지니어로 합류하시게 될 Engineering팀은 카카오, 쿠팡의 시니어 엔지니어 경험과 시리즈B 스타트업의 CTO 출신인 CTO를 중심으로 성장지향적인 에너지를 갖고 프로덕트를 개발하고 있는 팀입니다!|엔크립트 Engineering 팀에서 회사 성장의 시작점부터 성장가도를 함께 만들어갈 온체인 엔지니어를 찾습니다!|Solana 프로그램 시스템 디자인 및 개발|백엔드 파트와 Integration 협업",자료구조 및 시스템 프로그래밍에 대한 이해가 있으신 분|간단한 자료 구조로 효율적인 코드 제작이 가능하신 분|IT 계열 학사 학위를 소지하신 분,시스템 프로그래밍 경험이 있으신 분(C/C++ 등)|블록체인 프로젝트 경험이 있으신 분|Rust 프로그래밍 언어 사용이 가능하신 분|컴퓨터 시스템에 대한 이해도가 높으신 분|논리적이고 완결성 있는 사고력을 지니신 분,None,None,"‍[우리는 이런 분위기에서 일해요]|영어닉네임을 사용하며 수평적으로 소통합니다!|시차출퇴근제, 재택 근무 등 편리한 출퇴근 환경에서 근무하고 있어요.|성장하고자하는 의지로 가득한 팀원들과 성과를 만들어 가고 있습니다.|[우리는 이런 복지를 가지고 있어요]|사내 블록체인 스터디 세션(Decipher학회장 COO 주관)|맥북 등 업무 장비 지원|생일 반차휴가|시차출퇴근제(7시~11시)|아침에 신청해도 되는 자유로운 연차사용(반반차 제도)|주 1회 재택|간식제공",서류 전형 -＞ 온라인 코딩테스트 -＞ 1차 면접(기술 및 컬쳐핏) -＞ 2차 C-level 면접 -＞ 처우 협의 -＞ 입사
None,None,"영상,음성 엔지니어|머신러닝 엔지니어|소프트웨어 엔지니어",블루닷,서울 강남구 강남구 언주로 527 강남텔레피아빌딩 4층,"[다음 업무를 통해 목표를 달성하고 성장합니다]|영상처리, 동영상 압축 알고리즘 및 성능 분석","[이런분과 함께하고 싶어요]|전자, 컴퓨터공학 학사 이상|C, Python 프로그래밍 능력|비디오 압축 혹은 영상 처리에 관심이 있으신 분|자격 요건 중에 한 두가지 부족하지만, 노력으로 충분히 캐치업할 수 있는 자신이 있다면 망설이지 말고 지원해주세요!",[이런분이라면 더욱 환영해요]|비디오 압축 혹은 영상 처리 관련 연구 수행 및 프로젝트 경험자|리눅스 환경에서 개발 가능,None,Linux|Java|Python|C|C++,"[더 몰입하실 수 있도록 도와드려요]|[Life]|점심비 지원|맛있는 점심을 드실 수 있도록 점심비를 지원합니다. (최대 12,000원)|복지포인트 지급|자기개발, 여가/취미 활동지원을 위한 복지포인트를 지급합니다.(연 최대 150만원)|경조사 지원|결혼, 출산, 장례 등 중요한 경조사에 축하 및 조의를 전하며 화환 및 경조비를 지급합니다.|명절 및 기념일 선물|명절과 기념일에 감사의 마음을 전하기 위해 소정의 선물을 지급합니다.|[Wellness]|종합건강검진 지원|직원의 건강관리를 위한 종합건강검진을 지원합니다.(연 1회, 100만원 상당)|[Work]|자율근무 및 휴가제도 운영|최적의 시간과 공간을 선택할 수 있는 자율 근무와 자율 휴가 제도를 운영합니다.|정해진 근무시간 없이 자유롭게 출근하시고, 법정 휴가 소진하셨어도 일정에 맞게 휴가 사용하실 수 있습니다|업무성장 지원|직원의 성장을 위해 업무 관련 도서 및 외부 교육을 지원합니다.|팀활동비 지원|팀의 원활한 협업과 소통을 위한 팀활동비를 지원합니다.|스카우트 리워드|함께 일하고 싶은 동료를 추천해주세요! 그럼 스카우트 리워드가 지급됩니다.|업무환경 개선|최고의 퍼포먼스를 위해 업무환경을 끊임없이 개선하고자 노력합니다.|[지원 및 진행 절차]|지원서류 : 자유양식의 이력서(필수), 포트폴리오(선택) / PDF 형식 권장|연봉, 신체 정보, 가족 사항 및 주민번호 등의 민감한 개인정보는 제외 부탁드립니다.|진행절차 : 서류전형 ＞ 코딩테스트&직무 인터뷰 ＞ 처우협의 ＞ 최종합격|지원자의 이력 및 경력 사항에 따라 일부 과정이 생략되거나 추가될 수 있습니다.",
None,None,.NET 개발자|웹 개발자,플랜트인사이트,서울 마포구 서울특별시 공덕동,WebGL 기반의 3D 랜더링 뷰어 구현|산업용 3D 모델을 WebGL 컨텐츠로 변환 기능 구현|WebUI 기능구현,"학력 : 4년제 졸업 이상(신입), 무관(경력)|경력자 : 유관 기술 경력자|3D Insight Web/AppStream 분야: Web 개발경험, WebGL개발 경험 또는 관심있으신 분.|AI분야: AI 기술 경험|E3D/S3D개반 프로그램 분야 : E3D, S3D, PDMS 개발경험. .Net 개발경험",컴퓨터/시스템 공학|해당 직무 근무 경험|학점 우수(신입),2024-11-07,None,"퇴직연금, 자유로운 연차 사용, 자유복장, 야근강요 x, 회식 강요 x, 수평적 조직문화, 명절선물/귀향비, 리프레쉬, 근로자의 날/창립일 휴무, 산전 후 휴가, 경조휴가제, 음료지원(차, 커피), 점심식사 제공, 자기계발비 지원, 도서구입비 지원, 주 52시간제 준수, 탄력근무제, 내일채움공제, 선택적복리후생, 문화생활비, 각종 경조사 지원, 건강검진, 휴일 수당","• 서류전형 ＞ 1차면접 ＞ 최종합격
• 면접일정은 추후 통보됩니다."
None,None,.NET 개발자|머신러닝 엔지니어|소프트웨어 엔지니어,플랜트인사이트,서울 마포구 서울특별시 공덕동,자연어쿼리 AI 기술|이미지기반 학습알고리즘 도입,"학력 : 4년제 졸업 이상(신입), 무관(경력)|경력자 : 유관 기술 경력자|3D Insight Web/AppStream 분야: Web 개발경험, WebGL개발 경험 또는 관심있으신 분.|AI분야: AI 기술 경험|E3D/S3D개반 프로그램 분야 : E3D, S3D, PDMS 개발경험. .Net 개발경험",컴퓨터/시스템 공학|해당 직무 근무 경험|학점 우수(신입),2024-11-07,None,"퇴직연금, 자유로운 연차 사용, 자유복장, 야근강요 x, 회식 강요 x, 수평적 조직문화, 명절선물/귀향비, 리프레쉬, 근로자의 날/창립일 휴무, 산전 후 휴가, 경조휴가제, 음료지원(차, 커피), 점심식사 제공, 자기계발비 지원, 도서구입비 지원, 주 52시간제 준수, 탄력근무제, 내일채움공제, 선택적복리후생, 문화생활비, 각종 경조사 지원, 건강검진, 휴일 수당","• 서류전형 ＞ 1차면접 ＞ 최종합격
• 면접일정은 추후 통보됩니다."
None,None,"DevOps / 시스템 관리자|C,C++ 개발자|소프트웨어 엔지니어",에이스웍스코리아,서울 강남구 서울 강남구 언주로81길 13 진일빌딩 3층,자율주행 알고리즘을 차량에 적용하기 위한 플랫폼 설계 및 프로토타이핑|자율주행 네트워크 설계|자율주행을 위한 컴퓨팅 플랫폼 설계|자율주행에 필요한 소프트웨어 환경 구축|알고리즘 연산에 필요한 시스템 소프트웨어 개발,"학사학위 이상 (자동차공학, 기계공학, 로보틱스, 컴퓨터 공학, 전기전자 등 관련 분야)|C/C++, Python 등을 활용한 Linux 기반의 프로젝트 경험|발전하고자 하는 의지",자율주행 관련 프로젝트 수행 경험 보유자|차량용 네트워크(CAN 등)에 대한 이해|일반 컴퓨터 외 플랫폼(ARM계열 혹은 차량용 임베디드) 사용 경험|석사 이상인 경우 전문연구요원 복무 가능,None,None,"[근무환경]|유연근무제 (출퇴근선택)|역삼-선릉 걸어서 10분 이내|커피와 과자, 음료수 등 간식 무제한 제공|라운지, 수면실 등 휴식공간 운영|[건강/가족지원]|건강검진 지원 (2년 주기 지원, 40세 이상 매년 지원)|경조사 지원 (휴가, 화환, 경조금 등)|정직원 상해보험 가입|[휴가지원]|회사 리조트 지원 (소노호텔앤리조트, 마리나베이호텔)|직원 휴가비 지원 (한국관광공사)|여기어때 비즈니스 회원|[직무능력향상 지원]|직무능력향상을 위한 교육,세미나 및 도서 지원|직원 특허 출원 및 등록 시 포상금 지급|신입사원 1:1 멘토링 제도 운영|[그 외에도 ... ]|생일자 축하금 지급|정규직 전환 시 축하금|장기근속자 포상 (휴가, 포상금)|사내동료추천제도 포상금 지급|외부주차장 이용 시 정기권 50% 지원|전동킥보드 월 정기권 지원|운전면허 취득 시 학원비 50% 지원","[채용절차]
• 서류전형 ＞ 실무·임원면접 ＞ 채용검진 ＞ 최종합격  
 (상황에 따라 실무면접이 별도로 진행될 수 있습니다.)

[제출서류]
• 이력서, 자기소개서, 최종학력 성적증명서(90일 이내 발급), 포트폴리오(선택), 이력서 내 희망연봉 필수기재

[근무조건]
• 근무형태: 정규직
• 근무일시: 주 5일(월~금)
• 급여조건: 협의 후 결정"
None,None,데이터 엔지니어|BI 엔지니어|데이터 사이언티스트,미르니,서울 관악구 서울시 관악로 12길 10,"온체인 데이터 기획에서부터, 데이터 시각화까지 전 과정을 맡아서 진행합니다.|온체인 데이터 기획 (예: 디파이 구조 조사)|온체인 데이터 인덱싱 (예: EVM Subgraph 인덱싱)|온체인 데이터 가공 (예: SQL 쿼리 작성)|온체인 데이터 시각화 (예: 데이터 프레임워크를 활용한 Javascript)",온체인 데이터 탐구에 대한 관심|SQL 사용 경험|Javascript 사용 경험,"노드인프라에서 운영중인 베라체인 BGTscan에 대한 깊이 있는 이해|온체인 데이터 분석 경험 (예: Dune Analytics)|EVM 등 블록체인 데이터 인덱싱 경험|최신 글로벌 블록체인 기술, 금융상품, 인센티브 구조에 대한 리서치 경험",None,None,"자유로운 연차 사용, 복장, 호칭|퇴직연금, 중소기업 청년 소득세 감면, 중소기업취업청년 전월세보증금 대출|간식, 생일선물, 명절선물, 각종 경조사 지원|리프레시/장기근속 휴가, 경조휴가, 출산휴가, 육아휴직 지원|최신형 노트북, 모니터, 의자 등 지원|고성과자 스톡옵션 부여",
None,None,"영상,음성 엔지니어|파이썬 개발자|머신러닝 엔지니어",미니레코드,서울 송파구 서울특별시 송파구 송파대로 558 월드타워빌딩 6F 미니레코드,"인공지능 TTS 모델 및 알고리즘 개발|다국어 TTS 모델 개발(한국어, 일본어, 중국어, 영어, 스페인어 등)|다감정 및 다화자 TTS 모델 개발|학습 데이터 생성, 모델 개발, 파인튜닝 등|API 개발 및 백엔드 협업|최신 공개 발표된 모델, 논문 분석 및 구현","딥러닝 학습 및 추론 프로세스 및 음성 합성 최신 기술 트렌드에 대한 이해|Python 패키지, PyTorch 딥러닝 프레임워크 능숙|음성 합성 모델 경력 및 전문성 보유자|최신 공개된 깃허브 코드를 참고하여 원하는 방식으로 빠르게 구현할 수 있는자","인공지능 관련 분야의 석사 학위 이상|관련 기술 구현 및 서비스 상용화 경력자|커뮤니케이션 및 문제해결 능력이 탁월한 자|기술 동향 및 학습에 대한 열정|사용자 경험 분석 및 개선 경험|단일/다중 화자, 다국어, 화자 적응형, 감정 표현, 표현 학습 음성 합성 경험|GPT SoVITS, VALL-E, P-Flow, Style-TTS series, Fish-speech 등 최신 코드를 구현해본 경험",None,None,"잠실역 출구에서 도보 3분 거리|4대보험|스톡옵션 도입|명절 상여 및 특근수당|중석식 제공|경조금 및 경조휴가|간식제공|월 1회 부서별 점심회식|자유로운 연차사용|최신장비지원|콘도이용 지원 ""소노팰리체"" 전국 체인 1인당 연 3일 지원|잠실역 7번출구 도보 2분거리",1차 대면 면접 - 처우 협의 - 합격통지
None,None,데이터 사이언티스트|머신러닝 엔지니어|소프트웨어 엔지니어,파인더스에이아이,"서울 서초구 서초구 강남대로 51길 1, 13층(서초동, 511타워)","컴퓨터 비전 기반 무인매장 솔루션(아마존 ""Grab and Go""와 유사)용 알고리즘 연구개발|매장 내 고객에 대한 3D pose estimation & tracking 알고리즘 연구개발|컴퓨터 비전 딥러닝 모델(Pose estimation, object detection) 결과를 포함한 multi-modal 정보에 기반한|고객의 최종적인 구매 내역 추론 알고리즘 연구개발|컴퓨터 비전 기반 무인매장 솔루션용 2D pose estimation 딥러닝 모델 연구개발 및 최적화",뛰어난 논리적 사고력 및 문제 해결 능력|알고리즘을 원활하게 SW로 구현할 수 있는 능력|다수의 딥러닝 모델 추론 결과를 기반으로 최종 결과물을 만들어내는 알고리즘 설계 경험,컴퓨터공학/수학/물리학 및 관련 분야 학사 학위|Pose estimation 딥러닝 기술에 대한 이해 및 구현 경험|뛰어난 커뮤니케이션 능력,2024-11-30,None,"유연한 출.퇴근 제도 운영|자유로운 연차 사용|수평적 호칭 문화|중식/석식/간식 제공|자기 개발비, 도서 구입비 지원|최신 업무 장비 지원|건강검진 지원",
None,None,파이썬 개발자,에이아이스페라,"서울 성동구 서울특별시 성동구 연무장5가길 7, 현대테라스타워 W701-704",자사 개발 보안 솔루션 Criminal IP 에 사용될 데이터 분석/개발 (제품종류 SaaS)|대용량데이터 처리와 데이터분석을 통한 인텔리전스/인사이트 개발|각종 자동화 시스템 개발,"컴퓨터, 인공지능(AI), 빅데이터, 공학 관련 석사 이상 전공자|Python 사용이 능숙하신 분|커뮤니케이션 및 협상 능력|고객과의 관계 구축 및 유지 능력|기술적인 이해력과 솔루션에 대한 깊은 이해|팀에서의 협업과 협력을 중시하는 마인드셋","Criminal IP 관련, 사이버 위협 인텔리전스에 대한 이해도 보유자 (포토폴리오 제출자)|LLM모델에 대한 연구 또는 개발 경험이 있는 분",2025-01-15,None,"에이아이스페라의 복지 패키지|1. Work|업무에만 집중할 수 있도록 에이아이스페라가 도와드립니다!|성수역 도보 5분 거리의 사무실|탄력근무제도 (출퇴근은 자유롭게!)|저녁 회식 없음|점심 식비 지원|금요일은 점심시간 30분 더!|야근시 야근식비 지원|간식지원 (시리얼, 토스트, 라면, 햇반, 우유, 음료 등)|한강 라면기계 및 커피머신|필요 물품 지원(소프트웨어, 하드웨어, 사무용품 등)|안마의자, 공기청청기, 스타일러까지!|2. 같이 성장해요!|직원의 성장이 곧 회사의 성장! 함께 성장해요.|도서 구매 지원|업무 관련 세미나, 교육 컨퍼런스 참관 및 지원|성과급 지급|특허 포상|멘토멘티제도|인재추천 보상 제도 운영|3. Refresh|에이아이스페라는 건강한 라이프를 지향합니다!|리프레시 휴가|가족돌봄 휴직|건강검진 휴가|경조사 휴가|출산, 육아관련 휴가 및 휴직|설날/추석 선물 지급|경조사비 제공|AI Spera의 컬쳐는 계속해서 업데이트 중입니다!",서류전형 - 1차 대면면접(필요 시 2차 면접 진행)  - 최종합격
None,None,"파이썬 개발자|C,C++ 개발자",파이오링크,"서울 금천구 서울특별시 금천구 가산디지털2로 98, IT캐슬 1동 401호",분산 스토리지 시스템 개발,"ㆍ학력 : 대졸 이상 (4년) / 전공 : 컴퓨터 공학 전공자|ㆍ경력 : 무관 (신입도 지원 가능)|ㆍ언어 : C++, Python",ㆍLinux 환경 개발 경험|ㆍCeph 운용 및 개발 경험|ㆍGolang 개발 경험|ㆍOpenstack 개발 경험|ㆍSAN/NAS 운용 및 개발 경험|ㆍ클라우드 개발에 관심 있는 자,None,Git|AngularJS|Linux|Java|JavaScript|SQL|jQuery|Spring Framework|JPA,"직원대출제도, 각종경조사지원, 단체상해보험, 복지포인트지급 등|4대보험, 인센티브제, 장기근속자포상, 우수사원포상, 퇴직금, 성과급, 야근수당, 휴일수당 등|사내동호회, 휴게실, 콘도/리조트 이용권, 포상휴가, 산전후휴가, 육아휴직, 남성출산휴가 등",
