title,intro,category,comp_name,comp_addr,role,requirement,preferred,due,tech_stack,welfare,procedure
None,None,머신러닝 엔지니어,섬재,서울 강남구 서울 강남구 학동로33길 31,"AI Researcher / Engineer 직무는 자동화 모델을 연구하고 개발하여, AI 솔루션의 효율성을 높이는 것을 목표로 합니다. 이 역할은 자동화된 모델링 기법을 연구하고 이를 실제 환경에 적용합니다.|[주요 업무]|- 자동화된  모델링  기법  연구  및  개발|- 모델  성능  평가  및  개선을  위한  데이터  분석|- 최신  자동화  기술  및  트렌드  분석|- 모델의  프로덕션  환경  배포  및  관리","- 머신러닝  및  자동화  모델링에  대한  깊은  이해를  가지신  분|- Python, TensorFlow, PyTorch 등  머신러닝  프레임워크  사용  경험이  있으신  분|- 데이터  분석  및  처리  능력이  뛰어나신  분",- 자동화  모델  관련  프로젝트  경험이  있으신  분|- 클라우드  인프라  사용  경험이  있으신  분|- 온/오프라인  학습  서비스의  사용자  경험(튜터 / 학생  무관)이  있으신  분,2024-11-08,None,- 직전 연봉 기준 협의 후 조정|- 시차 출퇴근제 적용|- 중식 및 야근 시 석식 제공,
None,None,"임베디드 개발자|C,C++ 개발자",에니아이(Aniai),서울 성동구 서울 성동구 상원1길 22 굿타워,"- 주방 자동화 로봇, 테스트 장비의 펌웨어 개발|- 사내 로봇 OS의 커널 개발 참여|- 주방 자동화의 각종 프로토콜 (통신, 로그 등) 유지보수|- 로봇 GUI 소프트웨어 개발|- 펌웨어 배포 파이프라인 구축|- 필요한 경우 공급사, 테스트 Lab, 생산공장, 고객사 등 출장을 갈 수 있습니다.","- C와 Python에 대한 개발 경험이 있으신 분|- MCU 개발 경험 또는 지식이 있으신 분|- Git, GitHub을 활영하여 협업한 경험이 있으신 분|- EE 또는 CS 분야의 학사 학위 이상 또는 그에 준하는 경력을 가지고 계신 분|- Technical Presentation에 능숙하며 뛰어난 의사 소통 역량을 보유한 분","- STM32 기반 또는 아두이노 기반 임베디드 개발 경험이 있는 분 (IoT, 모터, 센서 관련 개발 경험)|- Jira 등 Issue tracking tool을 사용해보신 분|- 리눅스 개발 환경을 경험해보신 분.|- ARM 기반 리눅스 어플리케이션을 개발해보신 분|- 개발팀에 필요한 프레임워크를 찾거나 구축할 수 있는 분|- Linux kernel 또는 OS 관련 지식이 있는 분|- 오픈 소스 기여하거나 관심이 있는 분",None,Git|Github|C / C++|Python|마이크로프로세서,"- 채용 인원: 0명|- 채용 형태: 3개월 수습 후 정규직 전환 여부 결정|- 수습기간에도 연봉 100% 지급, 4대 보험 가입, 1개월 만근시 1일 유급 휴가 사용 가능, 정규직과 동일한 복지 제공|- 급여 및 연봉: 개인 역량에 따라 협의를 통해 결정|- 근무 장소: 서울특별시 관악구 봉천로 사무실 (23년도 1월 성수동으로 이전 예정)",
None,None,머신러닝 엔지니어,라온데이터,서울 중구 서울특별시 장충단로 209 5층,"주어진 비즈니스 문제를 가장 효과적으로 해결할 수 있는 AI 기술을 탐색합니다.|최신 ML/DL 기술을 follow-up 하고 우리 팀의 문제해결에 도움을 줄 수 있는지 검토합니다.|개발한 ML/DL 모델을 학습하고 정확하게 평가합니다.|Data Engineer, SW Engineer와 협업하여 모델을 배포하고 평가합니다.","PyTorch를 활용한 딥러닝 모델 구현 경험이 있고, 최신 딥러닝 논문을 빠르게 이해하고 정확히 구현할 수 있는 분|AI 관련 분야 전반, 머신러닝, 딥러닝 이론에 대한 전반적인 이해가 있는 분","국제학술지,학술대회에 1저자로 논문 게재 경험이 있는 분",None,Pytorch|Python|Docker,"모든 팀원간의 수평적인 관계|입사 시 300만원 상당의 기기 지원|회사 내에 스터디/연구 적극지원|자유로운 분위기|저녁식대 지원(14,000원)|사무용품비 지원(최대 30만원)",서류전형 - 온라인 면접 - 오프라인 면접
None,None,데이터 엔지니어|데이터 사이언티스트|머신러닝 엔지니어,비주얼캠프,서울 서초구 서초구 매헌로16길 32 희경빌딩 F동 401호,"R&D팀에서는 시선추적에 필요한 다양한 기술을 연구/개발합니다.|시선추적 기술 연구|- 시선추적에 필요한 딥러닝 모델들을 학습 및 실험|- 새로운 머신러닝, 시선추적 관련 논문들을 리뷰하며 더 나은 기술 탐색|시선추적 기술 개발|- 모바일 전면카메라, PC 웹캠의 얼굴 이미지로 시선추적이 가능한 기술 개발|- 시선추적 기술의 성능향상을 위해 새로운 알고리즘과 방법론을 제시|모델 배포|- PyTorch 및 TensorFlow 로 작성된 AI 모델 최적화|- 딥러닝 모델의 배포 및 운영","C++, Python 프로그래밍에 능숙하신 분|Computer vision, Image processing 이론에 대한 전반적인 이해|딥러닝 모델에 대한 이해 및 학습 경험|딥러닝 프레임워크(TensorFlow, PyTorch) 개발 전문성 보유|최신 기술 동향을 놓치지 않고 파악하여 문제를 해결할 수 있는 능력|팀원들과 적극적으로 소통할 수 있는 분, 스스로 동기부여가 되는 분, 학습능력이 좋은 분","MLOps 구축 경험|딥러닝 모델에 Quantization, Distillation 적용 경험|서비스/ 프로덕트를 위한 딥러닝 모델의 추론 최적화 경험|탑 티어 컨퍼런스/SCI 논문 저자|컴퓨터 비전, 인공지능 관련 분야 학위가 있으신 분(석/박사 우대)",None,Github|C / C++|Python,"희망 연봉 기재, 경력이 있으신 분들은 이전 직장 연봉 이상으로 협의|스톡옵션 부여|자율 출퇴근|자율 휴가제도 (+여름 휴가제도)|원하는 간식 무한제공|도서 구입비 무한지원, 세미나 참가비 지원, 스터디 모임 지원|개인장비 지원 (최신형 맥북 프로, iMac, PC, 대형 모니터)|4대보험","[채용 절차]
서류 전형 ＞ 과제 전형 ＞  1차 인터뷰 ＞ 2차 인터뷰
   • 과제전형(7일) : 문제해결능력 코딩 과제
   • 1차 인터뷰(화상, 30분 정도) : 본인 소개, 질의 응답, 기존에 했던 프로젝트 경험, 비전기술에 대한 질의 응답
   • 2차 인터뷰(화상 혹은 사내, 1-2시간 정도) : 임원 면접 및 심층 기술 질문"
None,None,"파이썬 개발자|C,C++ 개발자",자이언트스텝,서울 강남구 서울 강남구 학동로37길 8 (논현동),디지털 휴먼 임베딩 관련 R&D|데이터 처리 파이프라인 구축|인공지능 학습 파이프라인 개발 및 유지보수|인공지능 서비스 애플리케이션 개발 및 유지보수,"인공지능 관련 학과를 졸업자 또는 인공지능 관련 애플리케이션/서비스 개발 경험을 보유하신 분|python, 혹은 C++ 사용이 능숙하신 분",Vision 관련 연구 논문을 등재하신 분이거나 Vision 분야 프로젝트 수행 경력을 보유하신 분|모델 최적화/경량화 관련 지식을 보유하신 분|디지털 휴먼 관련 프로젝트에 참여했던 경력을 보유하신 분|pytorch 나 tensorflow 등을 능숙히 사용하실 수 있는 분|numpy 잘 쓰시는 분,None,None,"정규직 채용 (수습기간 3개월 적용, 수습기간내 급여 100%지급)|4대보험|중식비 지원|야간 교통비 지원|사내 카페테리아|경조금|퇴직연금|생일상품권|설/추석 선물|연말 우수사원 포상|휴양시설(콘도) 이용",* 전형절차 : 서류전형 ＞ 온라인 역량 검사/코딩테스트 ＞ 면접전형 ＞ 최종합격
None,None,데이터 엔지니어|데이터 사이언티스트|머신러닝 엔지니어,인티그리트,서울 강남구 서울시 강남구 삼성로 547  BK타워 5층,"- 컴퓨터 비전, 센서 퓨전|- 머신러닝 R&D|- 음성대화서비스|서류 전형 ＞ 1차 면접 ＞ 2차 면접(상황에 따라 생략 가능) ＞ 최종 합격","- 학력: 학력무관|- 컴퓨터 비전 및 머신러닝 설계 및 검증 관련 지식이 있으신 분|- TensorFlow, Pytorch 언어 관련 지식이 있으신 분|- Pytorch, go, C/C++ 활용한 알고리즘 및 시스템 설계 관련 지식이 있으신 분|- Deep Learning Framework 설계 관련 지식이 있으신 분|- Speech-To-Text, Text-To-Speech 관련 지식이 있으신 분|- ChatGPT API 및 프롬프트 엔지니어링 관련 지식이 있으신 분|- 관련된 최신 논문을 이해하고 신속한 설계 및 구현 관련 지식이 있으신 분","- 자율주행 로봇, 모빌리티 개발 관련 프로젝트 경험이 있으신 분(우대)|- 관련된 상용화 및 고도화 관련 프로젝트 경험이 있으신 분(우대)|- 음성대화서비스 관련 프로젝트 경험이 있으신 분(우대)",2024-11-02,None,"면접 후 급여조건 결정(최대한 역량에 맞는 급여조건 충족)|자유로운 근무 복장|자유로운 휴가 사용|휴게실 음료 제공|자기 개발 도서구입비용 지원|경조 휴가, 경조사비 지급|연장근무 시 석식비 지원|연장근로 및 휴일근로수당 지급|야간교통비 지급|연차수당 지급|창립일 휴무|지인 추천 입사 제도(입사 확정시 100만원 지급)",None
None,None,자바 개발자|안드로이드 개발자|서버 개발자,페이타랩(패스오더),"서울 강남구 서울특별시 강남구 영동대로 85길 34, 6층","【페이타랩 프로덕트팀】|프로덕트팀은 패스오더 유저와 점주님을 연결하며 고객지향적인 프로덕트를 만드는 팀이에요. 프로덕트의 성장을 위해 각 팀에서 실현하고자 하는 수많은 아이디어와 프로젝트를 유기적인 의사소통을 통해 흡수하고 구현해내고, 이를 위해 불필요하고 복잡한 업무 프로세스를 지양하며 실행 중심의 효율적인 업무 문화를 갖고 있어요.|“개발의 마지막 관문”이라는 마음가짐으로 안정적이면서도 혁신을 일으킬 수 있는 프로덕트를 개발하기 위해 수단과 방법을 가리지 않고 학습하고 실행하는 팀이에요. 프로덕트 매니저, 프로덕트 디자이너, 데브옵스 엔지니어, 개발자 등 프로덕트를 실현하는 과정 자체에서 즐거움을 느끼는 사람들과 그 이상으로 비즈니스 임팩트가 가장 중요하다는 점에 공감하는 사람들이 모여있어요.|【오시면 이런 업무를 하게 되실 거예요!】|패스오더 사용자가 쉽고 편하게, 그리고 안전하게 서비스를 이용할 수 있는 Android 앱을 개발하고 운영해요.|Kotlin을 주 언어로 안드로이드 어플리케이션을 개발, 운영, 최적화 작업을 하게 돼요.|AOS/ 웹 개발자와의 협업을 통한 모바일 서비스를 개선해요.|더 나은 서비스를 위한 새로운 기술 도입, 구조 개선, 성능 최적화 등의 다양한 시도를 해요.|【개발환경】|사용언어: Kotlin, Java|개발환경 및 도구: Android Studio","【 병역특례자 (산업기능요원) 지원 】|병역특례 지원 시 원활한 진행을 위해 병역유형을 기재해주세요.|현재 패스오더는 현역전직/보충역 신규/보충역 전직이 가능합니다.|【이런 분을 찾고 있어요!】|Java 및 Android framework에 대해 높은 이해도를 갖고 계신 분|모바일 앱 UX에 대한 이해도 및 AOS 휴먼 인터페이스에 대한 이해도가 높은 분|사용자 경험을 개선하는데 필요한 퍼포먼스 개선 및 네트워킹 구현 경험이 있는 분|Android App Architecture Guideline을 잘 이해하고 있으신 분|Coroutines, Flow, ViewBinding 등 Android 최신 기술 동향 및 최신 라이브러리에 익숙하신 분","【이런 분이면 더 좋아요!】|Kotlin, Java에 대한 지식이 풍부하고 관련 경험이 많으신 분|효율적인 협업을 위한 AOS 프로젝트의 기반 작업 경험이 있으신 분|MVVM 디자인 패턴 적용에 대한 경험이 있는 분|동료와 다양한 학습 내용을 공유하고 서로 도움을 주고 받으며 함께 기술적으로 성장하고자 하는 마인드를 가진 분|요구사항 분석 및 다른 개발자와 협업을 위한 원활한 커뮤니케이션 능력을 가지신 분",None,None,"【저희는 이렇게 일해요!】|1. 그냥 하는 일은 없어요. 스스로 업무를 할 때 '왜?'를 항상 생각해요.|2. 완벽한 결과물은 없다고 생각해요. 빠르게 실행해 보고 아니면 개선해 나가요.|3. 하나의 팀으로 연결되어 있어요. 사내의 모든 정보는 투명하게 공유하고 있어요.|4. 스포츠팀처럼 일해요. 각자의 포지션에서 최고가 되기 위해 끊임없이 성장해요.|5. 개인의 성장을 지지해요. 누구나 원하는 만큼 성장할 수 있도록 회사가 지원을 아끼지 않아요.|6. 직책 및 연차와 상관없이 모든 구성원이 자유롭게 소통하고 대단하게 피드백을 주고받아요.|7. 관계는 수평적이에요. 직급 대신 ‘님’이라는 호칭을 사용하고, 상호 존칭을 사용하며 서로를 존중해요.|8. 업무는 수직적으로 해요. 책임을 지는 의사 결정권자와 실무자의 구분을 명확히 해요.|9. 구성원들을 진심으로 아끼고 배려해요. 일은 힘들 수 있지만, 사람 때문에 힘든 일은 없어요.|10. 저녁 회식이 없어요. 다음 날 최상의 컨디션으로 일할 수 있도록 회사가 방해하지 않아요.|【당신의 성장을 적극적으로 지원해요!】|■ 오직 일과 성장에만 몰입하고 집중할 수 있도록|업무 효율을 낼 수 있는 최고 스펙 장비 제공|┕ 맥북프로, LG 그램 (2-3년 주기 업그레이드)|27” 듀얼모니터 제공|쾌적한 업무 환경 제공 (스타일러, 가습기, IQ Air 공기청정기)|키보드, 마우스 등 필요한 주변기기 맞춤 제공|개인별 법인카드 지급 (식대, 출장 등에 사용)|사유를 묻지 않는 자유로운 연차 사용|■ 원하는 만큼 배우고, 성장할 수 있도록|교육비 무제한 전액 지원|세미나, 컨퍼런스 참여 비용 무제한 지원|20개 이상 교육 또는 온라인 콘텐츠 구독|도서 무제한 구입 지원|Chat GPT 4.0 지원|업무에 필요한 다양한 툴 적극 지원|■ 함께하는 구성원이 행복할 수 있도록|법인카드 식대 지원(식대 1만 1천원)|패스오더 포인트 매월 지급 (50,000P)|에스프레소 머신, Tea 무제한 제공|간식(스낵바) 무제한 제공|종합건강검진 지원|명절 백화점 상품권 지급|생일 축하 백화점 상품권 지급|구성원 경조사 발생 시 근조화환 및 경조 휴가, 경조금 지원|【이런 여정을 거치게 되실 거예요!】|서류전형 ＞ 사전 테스트(필요 시 생략) ＞ 1차 인터뷰(직무) ＞ 2차 인터뷰(컬쳐 핏) ＞ 서류, 레퍼런스 체크 ＞ 최종합격|전형이 생략되거나 추가 및 변경되는 등 지원 포지션 및 경력 등 기타 상황에 따라 유연하게 진행하고 있어요.|개발자 및 일부 포지션의 경우 서류전형 다음으로 사전 테스트(코딩테스트, SQL 테스트, 과제테스트, 사전질문 등)를 진행해요.|합격 여부와 관계없이 모든 전형의 결과를 안내해 드리고 있으며, 결과는 알림톡 및 메일을 통해 안내드려요.|레퍼런스 체크를 진행하게 될 시, 사전에 지원자님께 반드시 동의를 구하고 진행해요.|입사일, 처우 협의 등은 최종합격 시 진행하고 있으며, 가능한 지원자님의 상황을 배려해 드리고 있어요.|【이렇게 일하게 되실 거예요!】|근무 형태: 경력 3년 미만 (6개월), 경력 3년 이상 (3개월) 수습|* 수습 기간은 지원자님과 회사가 서로를 알아가는 소중한 기간이에요. 수습 기간에도 급여 100% 지급 및 동일한 복지가 적용돼요. 수습기간 이후 내부 기준에 따라 정규직으로 계약하고 있어요.|근무 지역: 서울 삼성역 인근 (강남구 영동대로 85길 34, 6층)|【채용에 진심인 채용담당자의 한마디】|구성원분들을 부품으로 여기지 않고, 한 분 한 분을 소중하게 생각하는 만큼 시간이 오래 걸리더라도 신중하게, 우리와 맞는 분을 모시기 위해 노력하고 있어요. 일부 지원자분들에게는 페이타랩 합류 과정이 다소 까다롭고 긴 여정이라고 느끼실 수도 있지만, 서로에 대해 깊게 알아가는 시간이라고 생각해 주시고 우리의 채용 여정을 진심으로 바라봐 주시면 감사하겠습니다. :)",
None,None,"파이썬 개발자|C,C++ 개발자",평행공간,서울 서초구 서초구 강남대로327 서초대륭타워 평행공간 기업부설연구소,필수 사항|1. 학습에 대한 열망|2. Clean code 에 대한 수용|주요업무|1. Geometric Algorithm / Machine Learning Algorithm 관련 논문 연구 완벽한 이해|2. 관련 코드 테스트 및 리펙토링|3. 리펙토링한 코드를 사내 접목|4. 신입/경력 가능 팀내에서 함께 협업하여 공동개발 가능한 개발자를 찾습니다.,논문에 대한 열의 및 논리적 사고|해당 기술 구술 능력,clean code 에 대한 이해와 refactoring 경험.|C++/python개발 경험|Geometric Algorithm / Machine Learning Algorithm 개발 경험|관련 분야 석사이상|수학과/물리학과/기계공학과 우대,2024-11-11,Github|C / C++|Python,"8시~10시 자유로운 출근으로 유연근무제 실행|전 직원 삼성화재 건강보험 가입|힘든 일, 좋은 일 함께 경조사비 지급|업무 관련 외근 시 교통비, 식대 추가 지급|반반차, 반차 자유로운 연차 사용|사무실 내 건강한 간식 제공|명절 전날 조기 퇴근 실시",서류전형 - 1차면접 (실무) - 2차면접 (임원) - 합격여부 통보
None,None,"C,C++ 개발자|머신러닝 엔지니어|소프트웨어 엔지니어",모본,서울 강남구 서울시 강남구 삼성동 140-28덕우빌딩 3층,영상 인식 알고리즘 개발 엔지니어 (신입/경력),"4년제 관련 대학 전공 (컴퓨터 비전 분야, 딥러닝 분야)|영상 인식 알고리즘 개발 경력자|Python, C/C++을 활용한 알고리즘 개발 경력이 있으신 분|전문연구요원 가능",딥러닝 기반 알고리즘 개발경력자|석/박사 학위자 우대,2024-12-31,None,"인사 고과: 연공 서열이 아닌 업적과 능력 기준으로 연봉 및 승진|연봉: S급 인재- 업계 최고 대우|연금 보험: 국민연금, 건강보험, 고용보험, 산재보험, 퇴직연금|주 5일 근무, 각종 경조 휴가|각종 경조금 지원|우수 사원 표창 및 포상 (년 2회 실시)|교육비 지원, 자기 계발비, 직무 교육 지원|장기 근속자 포상,  해외 연수 제공",
None,None,머신러닝 엔지니어,메멘토에이아이,서울 강남구 강남구 테헤란로 509 엔씨타워 I,"LLM, RAG 기반 애플리케이션 개발|Prompt engineering","머신러닝 서비스 (LLM 포함) 개발 경험이 있으신 분|프롬프트 엔지니어링에 대한 깊은 이해도가 있으신 분|컴퓨터공학에 대한 깊은 이해도가 있으신 분|LangChain, crew.ai 같은 LLM 애플리케이션 프레임워크를 다뤄본 경험이 있으신 분",컴퓨터공학 혹은 머신러닝과 관련된 공학 백그라운드 석사 학위 이상 취득하신 분|최근 LLM / RAG와 관련된 논문들을 읽고 이해하고 이를 구현하실 수 있는 분,None,Python|AWS,"자율 출퇴근제 (08시 ~ 10시 / 17시 ~ 19시)|업무 성과와 연동되는 업계 최고 수준의 급여 (본인이 한 만큼 가져갈 수 있도록 급여 체계 구성)|맥북, 모니터 지원|점심 식사 지원, 야근시 석식 지원|커피 무제한 제공|삼성역 코세권 사무실","• 서류 접수 ＞ 과제 전형 ＞ 대면 인터뷰 ＞ 채용

[제출 서류]
• [필수] 이력서
• [필수] 자기소개서
• [필수] 포트폴리오 (URL or PDF)"
None,None,프로덕트 매니저,보이저엑스(VoyagerX),서울 서초구 서초구 서초대로38길 12 마제스타시티 타워1 10층 (주)보이저엑스,"보이저엑스의 서비스 기획 인턴은 다음과 같은 활동을 통해 사용자들이 보이저엑스의 여러 서비스들을 더욱 즐겁고 편리하게 사용할 수 있도록 합니다.|1. 문제의 발견: 정량적, 정성적인 방법으로 사용자가 겪고 있는 문제를 발견합니다.|2. 문제의 정리: 발견한 문제를 논리적이고 체계적으로 잘 정리합니다.|3. 문제의 공유: 정리된 문제를 여러가지 방법으로 잘 공유합니다.|4. 해결책의 제시: 문제의 해결책을 제시합니다.|추가적으로 다음과 같은 업무도 합니다.|5. 그 외 사용자 응대 등 보이저엑스의 서비스 기획자가 하고 있는 모든 일의 보조",필수 사항: 아래 사항들은 모두 반드시 갖추고 있어야 합니다.|0. 인턴 지원 자격에 해당하는 분|1. 성실하고 꼼꼼한 분|2. 정직하고 책임감이 강한 분|3. 공감하고 경청할 수 있는 분|4. 각종 소프트웨어를 잘 다루는 분|5. 글을 잘 읽고 잘 쓸 수 있는 분|6. 논리적이고 분석적인 분,아래 사항을 갖추고 있으면 더욱 적합합니다.|1. 영어 또는 일본어로 의사 소통이 가능한 분,None,None,"휴가사용은 자유롭게 + (무급) 휴가 무제한|동료와 원활한 협업을 위해 11시부터 6시 사이에 근무.|- 주당 40시간 약속만 잘 지키면 되며, 그 외 시간은 구성원이 자유롭게 조정할 수 있습니다.|주2회 재택근무 및 협의시 재택근무 추가 가능|일과중 아무때나 카페에서 일할 수 있음 (전체회의이어도 카페에서 원격 참석 가능)|넓은 사무실/ 가로 180짜리 책상에 큰 서랍 / 전동식 스탠딩 데스크 가능|키보드, 마우스, 모니터 최고급 사양/ 개인맞춤형 구매|소프트웨어, 하드웨어, 사무용품, 책 원하는 만큼|좋은 커피, 음료 및 과자무제한, 맥주무제한|간단한 운동 가능 (운동 및 휴식공간)|퍼즐, 레고, 보드게임 등 간단한 놀이 가능 (회사비용으로 구매)|공식적 회식은 연 1회 수준 (팀회식은 점심에 맛집에서)","1. 서류 심사: 아래 내용을 각 항목별로 자기소개서에 담아 이력서 및 포트폴리오와 함께 제출해주세요.
지원 서류에 아래 내용이 포함되시지 않은 분께는 이메일을 통해 추가 서류 제출을 요구드릴 수 있습니다.

1) 자격 요건에 본인이 얼마나 잘 맞는가
2) 주요 업무를 얼마나 잘 해낼 수 있는가

2. 과제 전형: 서류 합격 후 전달 드리는 과제를 수행하여 메일로 제출해주시면 됩니다.
과제 전형에 참여해주시는 모든 분께 채용 과제 사례비가 지급됩니다.

3. 면접: 직원, 대표와의 면접을 2차, 필요시 최대 3차까지 볼 수 있습니다."
None,None,프론트엔드 개발자|안드로이드 개발자,리비바이오,서울 강남구  서울특별시 강남구 역삼로3길 17 혜진빌딩,"기존 또는 신규 프로젝트 개발 및 유지보수|Kotlin을 이용한 Android Application 개발|Jetpack(Compose 및 ViewModel, LiveData, Room)을 이용함|[개발환경]|사용언어: Kotlin(주), Java(부)|업무도구: Git,  Slack, Notion 등",병역특례 대상자,"Google PlayStore 출시 경험이 있으신 분|Thread와 비동기 프로그래밍에 대한 이해가 있으신 분|MVP, MVVM 디자인 패턴에 대한 이해가 있으신 분|클린 아키텍처 방법론을 준수하는 견고하고 확장 가능한 소프트웨어 솔루션을 설계, 구현해본 경험이 있으신 분|Git 등의 분산 버전 관리 시스템 이용에 능숙한 분|원활한 커뮤니케이션 능력을 보유하고 있으신 분|나의 성과보다 팀의 성과, 개별 팀의 성과보다 서비스 전체의 성과를 추구하시는 분|전달해야 하는 정보를 글로 잘 표현하시는 분|좋은 함수/변수 이름을 위해 깊은 고민을 경험하신 분|내가 개발한 것을 관련없는 일반인에게 쉽게 설명할 수 있는 분",None,Git|Slack|Java|Kotlin|Notion,"시차출퇴근제 운영 (8시~10시 사이 선택)|자유로운 근무환경과 자율복장|개발에 필요한 최신형 개인장비 제공 - 맥북 프로, 27인치 모니터 등|점심식대(식권대장 포인트) 제공|회사 인근에 위치한 죠샌드위치 역삼키토선생점 전메뉴 50% 할인|프리미엄 프라이데이 운영 (매월 마지막 주 금요일 오전 근무만)|부모님 생신 조기퇴근|생일 오후반차 제공|창립기념일 휴무 (매년 2월 19일)|육아서포트제도 운영|경조사 지원 - 경조휴가, 경조금 및 경조화환 지원|설 및 추석 명절상품권 지급",None
